time,content,images
7月19日 14:07,所有编译器都必须加上中文符号提示好吗？好的。,
6月26日 20:04,姚寒冰我爱你，叶俊我爱你。,
6月23日 22:01,高寄英语听力，寄组,
6月16日 19:13,"为什么要把课设开在期末周
为什么要把课设开在期末周
为什么要把课设开在期末周
为什么要把课设开在期末周
为什么要把课设开在期末周
为什么要把课设开在期末周
展开全文",
6月12日 00:52,🪼,
6月7日 22:37,第五个夏天！,https://qq.ugcimg.cn/v1/sdteqn2cvtiageiophlb7aho1jvvjthq14sea457c94o5bi1p858umhl2pufgjnh0mo4m2052btgu1rhio428mj7mcogi8lhbh6lm816tnqhuvtuk6j0kgg9m4hmv6g9miglg46kg2dij6v1qm96ctv30o/e9vf2tsqr6j29hl2kodb3vahlc
5月22日 16:08,井喷😄,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBLfDH4b0kDbEx1c5nbA*YNZiKIOPIPS7TrtLkguZ7O1gBTreQYLFopzzWVtWRlfyuf6R5vIBaSHgyL.yNRloeg!/c&ek=1&kp=1&pt=0&bo=QAZVCEAGVQgWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464146&dis_k=524e429c64ebd0fc254fba3964b22ea3&sce=60-2-2&rf=0-0
5月20日 14:34,520是什么我的羞辱仪式吗😄😄😄,
5月18日 23:45,"两年前的自己会喝二食堂哆啦A梦杯装珍珠奶茶。
一年前的的自己会吃小渔村水运一的香辣鱼粉。
现在的自己会吃南湖巷的香香牛肉面。",https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEEj029zHFJIfJp*WpcQmBlNlAxzIfsQH2A6EgX9hpwI2uKJs8pUATsIlTGew7H1K9k.BdWP*P*0eqY4jFhc2P04!/m&ek=1&kp=1&pt=0&bo=QAZVCEAGVQgWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464146&dis_k=6a764181d0c2c55ffc3aff645539e9c5&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEEj029zHFJIfJp*WpcQmBlO5uFHZRHpLR1U5LeAAOLjg30OKyBGs2Q.n3HRxRhJhp1tFB8Tqb9TdIHi0LZV3CgM!/m&ek=1&kp=1&pt=0&bo=fwc4BH8HOAQWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464146&dis_k=765cdfa60c4b654a2de47a315b2ac9c8&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrENT750*JzWA*JKGw.L5WnBYabwQHNTiy31z8bZfDZX5xvXyLL4jVmZ53rdIXIGlKD4O*tuljOUHUyNnQaAxn1TQ!/m&ek=1&kp=1&pt=0&bo=OAR*BzgEfwcWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464146&dis_k=8c73e64410ed01620914c43405dc6e23&sce=60-4-3&rf=0-0
5月1日 22:41,五一第一爽,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEB*sZIoRvsEZbttT5OqmkCRv8h3HZwE8toy0v*Kclv7MHVvgRb61nO40EBXJ.Os44QFvXmQF.NDNv6rjyV9bQ*s!/m&ek=1&kp=1&pt=0&bo=bAk8BGwJPAQWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464146&dis_k=31582d4a5b1428ab414ca4738ba2abed&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEHlvkCn0XqKoVsdyc8EZ8A1ivonmAorls6h0nwSnl0W225SP.4IFujt7VUfEkbVq2lRFO5xJnocnYxJbDyLGwro!/m&ek=1&kp=1&pt=0&bo=bAk8BGwJPAQWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464146&dis_k=2b1c798b357b143f959245c7e9611744&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEHlvkCn0XqKoVsdyc8EZ8A0Cr1sHYix1Ue3eoLuneB*8j25slhjW7I4WEvNmOVh8ojPTGrbxIplaf2qEzDZGxXU!/m&ek=1&kp=1&pt=0&bo=bAk8BGwJPAQWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464146&dis_k=6172fd56675fb0992ad4a6dbc3adad47&sce=60-4-3&rf=0-0
4月30日 21:14,我的无力成为了我的败笔。,
4月19日 22:28,。,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEEZ3h9.Shtw6OnR*sftJ.OoMY301CCG5GYxivJfywVx71kLTqwBAK5GKolnPL3UlZuPBTxFTU*D4xSpVAYFB8zc!/c&ek=1&kp=1&pt=0&bo=oQlABqEJQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464153&dis_k=dc08f20975945df378870333716b9022&sce=60-2-2&rf=0-0
4月19日 01:58,凌晨的好处是用dp一点都不卡了呢,
4月18日 09:56,恨死查重了,
4月10日 09:17,"老板给我来碗忘情牛肉面
不放眼泪不放痛放忘情汤
我要忘掉曾经你所有味道
从此爱恨随意飘摇
展开全文",https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrED4irWJkQI564XKsJ4SOfEb1.rIKGUD7L6Xbw4yCnYe1A9XMQ5FQowRzQgVh1zmhgcbD1mfH.ub6c68T3Ggstqk!/c&ek=1&kp=1&pt=0&bo=OAR*BzgEfwcWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464153&dis_k=8056eb36ef198225175bbab8a95df999&sce=60-2-2&rf=0-0
4月8日 17:14,能不能回到清明假期第一天我求求了,
4月3日 15:30,萝卜快跑,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEHccC5hQ8x8ONOvQY4d.hNRg470wNXvN4BInRL9cAJ4484xuOfb2bOf41swjEqb8zW6XVhptSfVpnST93y25WpE!/c&ek=1&kp=1&pt=0&bo=fwc4BH8HOAQWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464153&dis_k=e5c70ca5b099d6f17c84165d54016ff8&sce=60-2-2&rf=0-0
4月2日 21:18,活不下去了怎么办,
4月1日 00:15,今天将有多少女孩借着愚人节的幌子给我表白，又将有多少女孩用愚人节的借口来假装和我表白试探我？大可不必了，其实我早就想公布恋情了。但是，如果我现在公布恋情，那会有多少人疯掉？会有多少人走向天台？医院是否会人满为患？微博后台是否会完全瘫痪？是多少人心碎的夜晚？我难以想象。抱歉，伤害你们的事我做不到。,
3月28日 14:30,"代码全报错
项目不通过
辛苦没成果",
3月22日 09:39,恕瑞玛，你们的国王回来了,
3月20日 16:38,"咦，好了，我中了
调了一天终于跑出来了。
感谢gpt，感谢kimi，感谢deepseek，感谢csdn，感谢豆包，谢谢你们",https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBjdWk8lc5epMAl.YYuWo4*tfHm1ymN9zUwmEI8JJirSU3UmH.TmrcOoDSqW.v1RqCnKtVX*DTO*jhpM1nkcsBU!/m&ek=1&kp=1&pt=0&bo=eAIUA3gCFAMDEDU!&tl=1&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=a61fdc445c18c00401e81c7e46f8a366&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBjdWk8lc5epMAl.YYuWo4*7zAR9*K7rcnSCEpsj2ecIa6VVRNLj0APbPC7cfxMGzUtE52Exn9B.A3JpA.X0hAU!/m&ek=1&kp=1&pt=0&bo=OAR*BzgEfwcWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=8512712419885617da8bb0a4aaeac14f&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBjdWk8lc5epMAl.YYuWo48dEzIYuHkHRAtoxmCEeHCgNVM1FCT1CckmJdSSHpvRJDYUV66WF*AxKL1KxWs9erc!/m&ek=1&kp=1&pt=0&bo=Ywk4BGMJOAQWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=28e3535ff8bad55570b1b43ccb1a3674&sce=60-4-3&rf=0-0
3月15日 22:57,。,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBzn3p*PBKeFpEC*29Hj1ZwAO6yiDUjVaxNv6JDoIE4NyfaXARGdheLg06*5f9xdHhLPAPjyHDSwPISjcOwoNbo!/c&ek=1&kp=1&pt=0&bo=OAR*BzgEfwcWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=0728909148b9d8b54e7f99a176d5d661&sce=60-2-2&rf=0-0
3月15日 22:04,跟做梦一样,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEFSl71IzEFFhWcyb.hA51h6m088c5ZQzqy8fo617tj.Od9KMNlT6*TAgBFD9iVdWxMuxIi.ke.CjI7ueWlNTcQY!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=d4c0197c176853790c1f724d4ad337d2&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBjdWk8lc5epMAl.YYuWo4*u*hscxh87mwQ8pm7BvE0*fZ7BO6sKBBDutqH.6WFD3HjWmt3532LANNiN6GTOzws!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=6564743106834ba5ccaad1149be51f75&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBjdWk8lc5epMAl.YYuWo4.iNgtV9Sia3d6u0TINUuEifvgACy6AaVyFTfgXvCWuCGeqyTi.sfJ3shNI8hPhbqQ!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=5abda3110861e91a926ae4edfb483702&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBjdWk8lc5epMAl.YYuWo49BSxjwbLb5W1DS31bU8tPLiESwWqj9bQK96YkWZw6pemXpqHpU4sS459MGeOW4nKs!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=e26eb75ead1504b887189edffdde32ce&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBjdWk8lc5epMAl.YYuWo4*3OlLTMvHxOzL19ofyE*kk9T4he*77EUOvL9IPGBhYgbhB0ku38qIOydOuv3egKc8!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=54ef90e0f9217f0154efe34312845da3&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEGd4QuoCDA0tA5mTQRLloFOuGoKYeJxNhRNpIffIGEaSgrXjNzik4*easmKwDKZRFzDcS33pZovIqs4EN*Wbt70!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=1b3f9343e54fa85ce727921ac46c8d37&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEGd4QuoCDA0tA5mTQRLloFNwsTPgzLX5mW9kyZx3vm2.KZtELMBFTlEXUrNdrBl.w3V9EwYNpLr7aC*ziqIC.UY!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=bbf589c5848e908e6544877ceb37613b&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEGd4QuoCDA0tA5mTQRLloFPR2JQen3l5NnfT6dU1NOCQFlzvs1.zDkjR7apnAUGdLsqXglMMFF.W.OCH0016kWY!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=0d4a7d9c3b65fc8223bc223026e0a30f&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEGd4QuoCDA0tA5mTQRLloFPBNGXkshgCBWyZ.O5xrVcEXOTc14At.YS8m.uYeFZ5nHMor935RcioXl4Anaa31LQ!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=c8b5350155632ac5f652dc1af6db860f&sce=60-4-3&rf=0-0
3月15日 20:38,做一辈子偶像好吗？,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEGr6kKRigRijbw4O73c*QLDgRe3Tgqc*wIRLTCY8roRWlf2cBEp5k82fYIcNN3MvzoUlGHZlpQTO.AXwqw6wBPo!/c&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464158&dis_k=f9aa991f1c65b1db86653abc1610170c&sce=60-2-2&rf=0-0
3月11日 15:50,想我的好朋友PTA了,
2月28日 22:54,One by one.,
2月20日 14:28,恕瑞玛，你们的国王回来了,
1月28日 22:23,我是小学生，我要唱孤勇者！,
1月28日 05:23,"除夕当庆贺走街串巷过 除夕当庆贺知足更常乐 除夕当庆贺能与你度过 这团圆时刻年夜饭摆一桌
祝大家除夕快乐",
1月23日 12:52,玩不起围棋别玩了,
1月23日 00:22,"“赠我弯弯一枚月 也赠予我晚星。”
2024年于我有巨大的变化，有离别，有重逢，最后千千万万次过去，我遇见晚星。",https://qq.ugcimg.cn/v1/ejrjt9tmsgau797pbp871orv1ecud7mdg3uedhq9pn90fh1fsjq3l6502hpa3k0m3sa7q8rl1j1tkf177cffpapasahq3r73sfuea60/0qmiknmqm1ulipm3ln3hrdh9k4
1月21日 21:55,科四能不能裸考？,
1月18日 17:48,,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEFzobBmw*0s4dTLXtMOlFPFoRf*jSXRYSXR5EPbfTIo2BYmYwgMUWdGmToEOQvL3.Jlr.GS3QOSHov99wRkWxNs!/c&ek=1&kp=1&pt=0&bo=VQhABlUIQAYWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464160&dis_k=965bd01a737f6a74674bb3a796593b99&sce=60-2-2&rf=0-0
1月10日 09:23,,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBLfDH4b0kDbEx1c5nbA*YNOOUDaReEdsFobEzOGMphwY.7l2du6VECiVgjvNwtIg2HDA7IxXdEC9iCtkl370fI!/c&ek=1&kp=1&pt=0&bo=QAZVCEAGVQgWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464160&dis_k=8f358a77d3d19f7025a1df7682241274&sce=60-2-2&rf=0-0
1月9日 15:02,现在还在图书馆自习，打败百分之九十九大学生,
1月7日 13:49,期末复习偶遇数值分析，公式证明强如怪物，拼尽全力无法战胜。,
1月1日 00:02,第五年！！！,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEEj029zHFJIfJp*WpcQmBlMFoCPSMMfckqHdObHUMrYXsXOk3UsY93hmjpoW4xpld6u0TGInuY3wd2bq9x0wEPU!/c&ek=1&kp=1&pt=0&bo=VQhABlUIQAYRECc!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464160&dis_k=cd089f32c68e24eef0e44f3e34eca50d&sce=60-2-2&rf=0-0
2024年12月31日 19:45,,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEBAGF*5mmsTL.eGdHonKdKt.kkkT07xr2GymLU1tA0wtkJKKoku00a.1xdwrpq2GiJ0W5WEVH6eKFurKr6Vk37w!/c&ek=1&kp=1&pt=0&bo=9gI4BPYCOAQRECc!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464160&dis_k=ed040925fa2d7d9625b0a8b42c5e17e3&sce=60-2-2&rf=0-0
2024年12月28日 13:02,,https://qq.ugcimg.cn/v1/kgij0dgogojudbgdrb7hf10ajnll990kfaq58rr2gfu7v499mgfa7cnsr2ffoeoqqgcesp8rs4qq5eje8tglmje7f7d96julp65j78i5bdn38lc6qdj0h6mi1q0f5o33htpnv6fgkhrccehaodiifk5jfk/e9vf2tsqr6j29hl2kodb3vahlc
2024年12月26日 14:29,能不能延迟过年,
2024年12月24日 15:38,,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEEFvY4gChhAdG94T2OiJ4CrxV7L68QSX3DBhd2m7d4ozZHXi6O9sAqKY.sPEUB9S6h4NUAyXzc1X5RGB91ri1gQ!/c&ek=1&kp=1&pt=0&bo=dgF2AXYBdgERECc!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464165&dis_k=2c8bfcb886b86f1d916611fea4fcb552&sce=60-2-2&rf=0-0
2024年12月22日 00:24,冬至已过，黑夜渐短，白昼渐长。,
2024年12月21日 15:48,今天是冬至，我由衷地期望这个冬天能够充满奇迹。,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEIwviH2tIEcd4KQprX8AZItcRkStVohFoJjc3hLa*8unPy8HIZ3QzFeJ5ConlheC9GORdwTiLVL20sQnrQ8veVQ!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYRECc!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464165&dis_k=cd9bdc74b3653a668252068643789eff&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEIwviH2tIEcd4KQprX8AZIt*rrQ3GjwDDm87y0Z4.S8tAq835KKZJE39NBvVd4R5LySsj3YMRa*3JlR0*BlQjig!/m&ek=1&kp=1&pt=0&bo=VQhABlUIQAYRECc!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464165&dis_k=2066c802b4d909232956b27f1186e626&sce=60-4-3&rf=0-0|https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEIwviH2tIEcd4KQprX8AZItObfwRl9D3ppjuWmHQGtpw6168.e3GR*p7DBE4aGSVd41.1K2*TQvefQ6*6ElB67U!/m&ek=1&kp=1&pt=0&bo=QAZVCEAGVQgRECc!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464165&dis_k=87d77960725970928fa3ee268ca573b8&sce=60-4-3&rf=0-0
2024年12月17日 16:44,期末复习偶遇java，疯狂报错强如怪物，拼尽全力无法战胜。,
2024年12月14日 17:31,卷子手感很棒，我明年还要来考,
2024年12月11日 19:57,祝大家新年快乐，帮帮忙填个问卷🥹🥹🥹,https://a1.qpic.cn/psc?/V13NCa9820LrLQ/TmEUgtj9EK6.7V8ajmQrEFu0H1hSlyKKEGCxqP6IARNDrK0hnIi1Az7C7zZJb13rkN0p7uWMkwHmu*8NvyiRln30KIjhrcyk03No6F5.2qE!/c&ek=1&kp=1&pt=0&bo=gAIsBIACLAQWECA!&t=5&tl=3&vuin=3287424602&tm=1753462800&dis_t=1753464165&dis_k=ed5c42ef54109298c1befb2a1531f5e0&sce=60-2-2&rf=0-0
2024年12月8日 21:22,我今天为什么没有八点起床去东院图书馆自习，我会永远无法释怀这沉重的一天。,
2024年12月4日 23:30,前两周凭眼缘借了一本书，因为太忙了一直没时间去看，今天终于空闲翻开来看，犹如吃了过期的一样难受。,
2024年12月1日 20:50,java把我这辈子都毁了,
2024年11月22日 21:11,"其实我小学的时候最喜欢上微机课，因为每次都能玩4399小游戏。
今天我上了一天的网吧，却怎么也找不到当时的快乐了",
2024年11月17日 23:30,今夜，星光闪闪。,
2024年11月14日 18:50,我东门那么大个炸蘑菇去哪了呢,
2024年11月9日 19:40,今年的秋天格外明显，愈发觉得自己的选择如同那梧桐的叶脉，历历可见。,
2024年10月31日 23:42,"还在为头脑简单看不懂新番而发愁吗？还在为思想浅薄只会人云亦云、拾人牙慧、鹦鹉学舌而遭人鄙夷吗？
《贝拉新番杂谈》，从另一维...",https://qq.ugcimg.cn/v1/sdteqn2cvtiageiophlb7aho1is0tdlvc28h8suqanr7jgh50g5uaq9g1fp56qvsb0ubnt1jn9n5tl3tof90l593k22n1cikpsukfbm2p06b7tkn9ffe27ci5cf3bss7v0il6i1qk320ojgbhha1dbcs6o/e9vf2tsqr6j29hl2kodb3vahlc
2024年10月27日 19:35,"花车颠呀颠，纳西妲睁开眼。
